Id	Partida	Solicitud	SP_Activo_Final	Valor_SP_Final	PV_Final	MateriaPrima	Equipo	Local_Timestamp	Time_Stamp	TimeStampDb
23808	NULL	16	SP Receta V115	428,449066	427,898438	Estireno	V115	2024-10-25 03:57:00.000	2024-10-25 08:57:00.000	2024-11-26 23:46:54.347
23539	NULL	16	SP Receta V115	504,893158	507,914124	Butil	V115	2024-10-25 04:01:00.000	2024-10-25 09:01:00.000	2024-11-26 23:46:54.280
23815	NULL	2	SP Receta V141	2349,27	2351,57056	Estireno	V141	2024-10-25 04:16:00.000	2024-10-25 09:16:00.000	2024-11-26 23:46:54.347
23555	NULL	2	SP Receta V141	2567,26538	2570,43555	Butil	V141	2024-10-25 04:33:00.000	2024-10-25 09:33:00.000	2024-11-26 23:46:54.280
23204	NULL	36	SP Semi R111	313,376434	244,817184	Xilol	R111	2024-10-25 05:38:00.000	2024-10-25 10:38:00.000	2024-11-26 23:46:54.200
23205	NULL	38	SP Receta R111	825,2086	825,466858	Xilol	R111	2024-10-25 06:21:00.000	2024-10-25 11:21:00.000	2024-11-26 23:46:54.200
23056	NULL	14	SP Receta R131	970,8207	1287,891	Soda	R131	2024-10-25 07:22:00.000	2024-10-25 12:22:00.000	2024-11-26 23:46:54.200
23366	NULL	16	SP Semi V221	49,9455223	43,7513428	Toluol	V221	2024-10-25 07:45:00.000	2024-10-25 12:45:00.000	2024-11-26 23:46:54.280
23103	NULL	14	SP Semi TK131	659,7162	650,0511	Soda	TK131	2024-10-25 08:45:00.000	2024-10-25 13:45:00.000	2024-11-26 23:46:54.200
23104	NULL	16	SP Semi TK131	659,9953	330,017334	Soda	TK131	2024-10-25 10:17:00.000	2024-10-25 15:17:00.000	2024-11-26 23:46:54.200
23781	NULL	6	SP Receta V221	347,886383	347,881348	Metil	V221	2024-10-25 10:17:00.000	2024-10-25 15:17:00.000	2024-11-26 23:46:54.347
23864	NULL	2	SP Receta V221	1207,93689	1209,27856	Estireno	V221	2024-10-25 10:29:00.000	2024-10-25 15:29:00.000	2024-11-26 23:46:54.400
23852	NULL	8	SP Receta V241	2878,913	2881,82446	Estireno	V241	2024-10-25 10:44:00.000	2024-10-25 15:44:00.000	2024-11-26 23:46:54.400
23600	NULL	12	SP Receta V241	3145,768	3142,3877	Butil	V241	2024-10-25 11:04:00.000	2024-10-25 16:04:00.000	2024-11-26 23:46:54.347
23226	NULL	16	SP Receta V115	103,002449	102,894432	Xilol	V115	2024-10-25 12:07:00.000	2024-10-25 17:07:00.000	2024-11-26 23:46:54.200
23718	NULL	18	SP Receta V115	545,9083	474,695038	Metil	V115	2024-10-25 12:21:00.000	2024-10-25 17:21:00.000	2024-11-26 23:46:54.347
23809	NULL	18	SP Receta V115	509,662262	427,434448	Estireno	V115	2024-10-25 12:28:00.000	2024-10-25 17:28:00.000	2024-11-26 23:46:54.347
23540	NULL	18	SP Receta V115	376,5025	508,039246	Butil	V115	2024-10-25 12:32:00.000	2024-10-25 17:32:00.000	2024-11-26 23:46:54.280
23816	NULL	4	SP Receta V141	2320,4895	2350,78564	Estireno	V141	2024-10-25 13:20:00.000	2024-10-25 18:20:00.000	2024-11-26 23:46:54.347
23556	NULL	4	SP Receta V141	2488,151	2568,6687	Butil	V141	2024-10-25 13:36:00.000	2024-10-25 18:36:00.000	2024-11-26 23:46:54.280
23206	NULL	40	SP Semi R111	349,820282	345,705841	Xilol	R111	2024-10-25 15:21:00.000	2024-10-25 20:21:00.000	2024-11-26 23:46:54.200
23207	NULL	42	SP Receta R111	824,16156	824,368652	Xilol	R111	2024-10-25 15:49:00.000	2024-10-25 20:49:00.000	2024-11-26 23:46:54.200
23269	NULL	2	SP Receta V221	347,5074	352,0191	Xilol	V221	2024-10-25 18:31:00.000	2024-10-25 23:31:00.000	2024-11-26 23:46:54.200
23782	NULL	8	SP Receta V221	347,881165	347,9422	Metil	V221	2024-10-25 19:03:00.000	2024-10-26 00:03:00.000	2024-11-26 23:46:54.347
23865	NULL	4	SP Receta V221	1209,90149	1209,948	Estireno	V221	2024-10-25 19:12:00.000	2024-10-26 00:12:00.000	2024-11-26 23:46:54.400
23237	NULL	2	SP Semi R221	14,9969559	14,6941109	Xilol	R221	2024-10-25 19:27:00.000	2024-10-26 00:27:00.000	2024-11-26 23:46:54.200
23238	NULL	4	SP Receta R221	13,664134	13,1376371	Xilol	R221	2024-10-25 19:57:00.000	2024-10-26 00:57:00.000	2024-11-26 23:46:54.200
23227	NULL	18	SP Receta V115	124,640526	101,268562	Xilol	V115	2024-10-25 20:58:00.000	2024-10-26 01:58:00.000	2024-11-26 23:46:54.200
23719	NULL	20	SP Receta V115	634	646,6745	Metil	V115	2024-10-25 21:20:00.000	2024-10-26 02:20:00.000	2024-11-26 23:46:54.347
23810	NULL	20	SP Receta V115	594,1	593,2598	Estireno	V115	2024-10-25 21:24:00.000	2024-10-26 02:24:00.000	2024-11-26 23:46:54.347
23541	NULL	20	SP Receta V115	241,6	244,660156	Butil	V115	2024-10-25 21:29:00.000	2024-10-26 02:29:00.000	2024-11-26 23:46:54.280
23239	NULL	6	SP Receta R221	99,44095	99,76327	Xilol	R221	2024-10-25 21:35:00.000	2024-10-26 02:35:00.000	2024-11-26 23:46:54.200
23105	NULL	18	SP Semi TK131	647,8639	650,014	Soda	TK131	2024-10-25 21:44:00.000	2024-10-26 02:44:00.000	2024-11-26 23:46:54.200
23208	NULL	44	SP Receta R111	19,32028	14,8996763	Xilol	R111	2024-10-25 22:07:00.000	2024-10-26 03:07:00.000	2024-11-26 23:46:54.200
23445	NULL	2	SP Receta D122	1408,9436	1424,10889	Vam	D122	2024-10-25 22:19:00.000	2024-10-26 03:19:00.000	2024-11-26 23:46:54.280
23817	NULL	6	SP Receta V141	2291,709	2355,49658	Estireno	V141	2024-10-25 22:24:00.000	2024-10-26 03:24:00.000	2024-11-26 23:46:54.347
23557	NULL	6	SP Receta V141	2408,89063	2572,791	Butil	V141	2024-10-25 22:40:00.000	2024-10-26 03:40:00.000	2024-11-26 23:46:54.280
23228	NULL	20	SP Receta V115	129,002991	128,4464	Xilol	V115	2024-10-25 22:45:00.000	2024-10-26 03:45:00.000	2024-11-26 23:46:54.200
23209	NULL	46	SP Semi R111	300,3834	342,877869	Xilol	R111	2024-10-25 23:33:00.000	2024-10-26 04:33:00.000	2024-11-26 23:46:54.200
23106	NULL	20	SP Semi TK131	599,9067	10,0239658	Soda	TK131	2024-10-26 00:09:00.000	2024-10-26 05:09:00.000	2024-11-26 23:46:54.200
23210	NULL	48	SP Receta R111	778	777,599854	Xilol	R111	2024-10-26 00:19:00.000	2024-10-26 05:19:00.000	2024-11-26 23:46:54.200
23757	NULL	8	SP Receta V241	3171,927	3169,9397	Metil	V241	2024-10-26 01:39:00.000	2024-10-26 06:39:00.000	2024-11-26 23:46:54.347
23601	NULL	14	SP Receta V241	2868,43652	2864,94067	Butil	V241	2024-10-26 01:58:00.000	2024-10-26 06:58:00.000	2024-11-26 23:46:54.347
23270	NULL	4	SP Receta V221	351,9702	351,410645	Xilol	V221	2024-10-26 03:48:00.000	2024-10-26 08:48:00.000	2024-11-26 23:46:54.200
23240	NULL	8	SP Semi R221	0,014022653	14,801981	Xilol	R221	2024-10-26 04:24:00.000	2024-10-26 09:24:00.000	2024-11-26 23:46:54.200
23446	NULL	4	SP Receta D122	1378,34961	1424,78223	Vam	D122	2024-10-26 05:06:00.000	2024-10-26 10:06:00.000	2024-11-26 23:46:54.280
23229	NULL	22	SP Receta V115	193,668533	192,9651	Xilol	V115	2024-10-26 05:19:00.000	2024-10-26 10:19:00.000	2024-11-26 23:46:54.200
23720	NULL	22	SP Receta V115	634	643,961	Metil	V115	2024-10-26 06:27:00.000	2024-10-26 11:27:00.000	2024-11-26 23:46:54.347
23241	NULL	10	SP Receta R221	62,93435	99,9832153	Xilol	R221	2024-10-26 06:29:00.000	2024-10-26 11:29:00.000	2024-11-26 23:46:54.200
23811	NULL	22	SP Receta V115	594,1	593,844543	Estireno	V115	2024-10-26 06:31:00.000	2024-10-26 11:31:00.000	2024-11-26 23:46:54.347
23542	NULL	22	SP Receta V115	241,6	244,698	Butil	V115	2024-10-26 06:36:00.000	2024-10-26 11:36:00.000	2024-11-26 23:46:54.280
23367	NULL	18	SP Semi V221	36,02309	40,34375	Toluol	V221	2024-10-26 06:52:00.000	2024-10-26 11:52:00.000	2024-11-26 23:46:54.280
23818	NULL	8	SP Receta V141	2264,51563	2349,608	Estireno	V141	2024-10-26 06:58:00.000	2024-10-26 11:58:00.000	2024-11-26 23:46:54.347
23558	NULL	8	SP Receta V141	2333,71	2570,43579	Butil	V141	2024-10-26 07:16:00.000	2024-10-26 12:16:00.000	2024-11-26 23:46:54.280
23230	NULL	24	SP Receta V115	129,074692	128,678024	Xilol	V115	2024-10-26 07:44:00.000	2024-10-26 12:44:00.000	2024-11-26 23:46:54.200
23211	NULL	50	SP Semi R111	250,0235	249,16835	Xilol	R111	2024-10-26 07:55:00.000	2024-10-26 12:55:00.000	2024-11-26 23:46:54.200
23212	NULL	52	SP Receta R111	778	777,5538	Xilol	R111	2024-10-26 08:36:00.000	2024-10-26 13:36:00.000	2024-11-26 23:46:54.200
23602	NULL	16	SP Receta V241	2908,79272	2904,399	Butil	V241	2024-10-26 10:26:00.000	2024-10-26 15:26:00.000	2024-11-26 23:46:54.347
23758	NULL	10	SP Receta V241	3026,462	3028,27637	Metil	V241	2024-10-26 10:44:00.000	2024-10-26 15:44:00.000	2024-11-26 23:46:54.347
23866	NULL	6	SP Receta V221	1844,75476	1844,73853	Estireno	V221	2024-10-26 11:04:00.000	2024-10-26 16:04:00.000	2024-11-26 23:46:54.400
23672	NULL	2	SP Receta V221	997,4352	997,9453	Butil	V221	2024-10-26 11:17:00.000	2024-10-26 16:17:00.000	2024-11-26 23:46:54.347
23231	NULL	26	SP Receta V115	193,99469	193,943039	Xilol	V115	2024-10-26 13:48:00.000	2024-10-26 18:48:00.000	2024-11-26 23:46:54.200
23289	NULL	14	SP Receta R221	1597,68665	1597,85864	Toluol	R221	2024-10-26 15:16:00.000	2024-10-26 20:16:00.000	2024-11-26 23:46:54.200
23213	NULL	54	SP Semi R111	210,0353	210,233536	Xilol	R111	2024-10-26 16:10:00.000	2024-10-26 21:10:00.000	2024-11-26 23:46:54.200
23368	NULL	20	SP Receta V221	48,12143	48,9844971	Toluol	V221	2024-10-26 18:50:00.000	2024-10-26 23:50:00.000	2024-11-26 23:46:54.280
